,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
120,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-01,93,Moderate,Ozone,06-037-6012,20
121,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-02,115,Unhealthy for Sensitive Groups,Ozone,06-037-0016,19
122,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-03,169,Unhealthy,Ozone,06-037-6012,19
123,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-04,156,Unhealthy,Ozone,06-037-9033,20
124,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-05,67,Moderate,Ozone,06-037-9033,19
125,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-06,53,Moderate,PM2.5,06-037-1103,19
126,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-07,53,Moderate,PM2.5,06-037-1103,20
127,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-08,58,Moderate,Ozone,06-037-9033,18
128,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-09,67,Moderate,Ozone,06-037-9033,18
129,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-10,84,Moderate,Ozone,06-037-9033,19
130,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-11,140,Unhealthy for Sensitive Groups,Ozone,06-037-0016,18
131,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-12,172,Unhealthy,Ozone,06-037-0016,18
132,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-13,147,Unhealthy for Sensitive Groups,Ozone,06-037-0016,19
133,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-14,100,Moderate,Ozone,06-037-9033,18
134,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-15,87,Moderate,Ozone,06-037-9033,18
135,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-16,76,Moderate,PM2.5,06-037-1103,19
136,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-17,67,Moderate,Ozone,06-037-6012,18
137,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-18,97,Moderate,Ozone,06-037-6012,18
138,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-19,115,Unhealthy for Sensitive Groups,Ozone,06-037-6012,19
139,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-20,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,18
140,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-21,161,Unhealthy,Ozone,06-037-9033,19
141,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-22,97,Moderate,Ozone,06-037-6012,20
142,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-23,87,Moderate,Ozone,06-037-9033,18
143,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-24,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,19
144,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-25,105,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
145,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-26,84,Moderate,Ozone,06-037-6012,19
146,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-27,71,Moderate,Ozone,06-037-6012,19
147,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-28,59,Moderate,PM2.5,06-037-1103,20
148,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-29,77,Moderate,Ozone,06-037-6012,19
149,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-30,126,Unhealthy for Sensitive Groups,Ozone,06-037-6012,19
150,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-31,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
151,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-01,187,Unhealthy,Ozone,06-037-0016,19
152,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-02,150,Unhealthy for Sensitive Groups,Ozone,06-037-9033,19
153,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-03,93,Moderate,Ozone,06-037-9033,20
154,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-04,101,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
155,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-05,143,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
156,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-06,100,Moderate,Ozone,06-037-9033,21
157,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-07,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
158,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-08,136,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
